"","engword","meaning","langgroup","setword"
"6231","cook","cook in earth oven","POC","*taqo"
"6232","cook","cook over a fire","PMP ","*ba<U+014B>i2"
"6233","cook","cook, boil",NA,"*(noise)"
"6234","cook","giving off smoke or steam; to steam cook rice","PWMP","*kukus"
"6235","cook","to boil, to cook","PWMP","*maR-tanek"
"6236","cook","to boil, to cook","PWMP","*ma-nanek"
"6237","cook","to cook","PMP","*tanek"
"6238","cook","to cook anything but rice","PMP","*t<um>anek"
"6239","cook","to cook anything but rice","PAN","*t<um>aNek"
"6240","cook","to cook anything but rice","PAN","*taNek"
"6241","cook","to cook fish in a rich, spicy sauce","PWMP","*pa<U+014B>at"
"6242","cook","to cook in water, cook rice","PMP","*zakan"
"6243","cook","to cook vegetables","PPH","*gulay-en"
"6244","cook","to cook vegetables","PPH","*de<U+014B>de<U+014B>1"
"6245","cook","to slow cook in a tightly covered vessel","PWMP","*kulub2"
"6246","cook","to stir","PMP","*sa<U+014B>elaR"
"6247","cooked","be eaten by someone; cooked rice","PAN","*kaen-en"
"6248","cooked","cooked rice","PMP","*hemay"
"6249","cooked","cooked rice","PAN","*Semay"
"6250","cooked","cooked rice?","PWMP","*in-asi"
"6251","cooked","cooked, ripe","PWMP","*ma-lutuq"
"6252","cooked","cooked, ripe","POC","*maosak"
"6253","cooked","cooked, ripe","PMP","*ma-esak"
"6254","cooked","cooked, ripe","PMP ","*esak"
"6255","cooked","cooled off, as cooked food that has been left to sit too long","PAN","*ma-baSaw"
"6256","cooked","fish wrapped in banana leaf and cooked over hot coals","PWMP","*p<in>aqis"
"6257","cooked","packet of cooked rice",NA,"*(loan)"
"6258","cooked","ripe, cooked","PEMP","*masak"
"6259","cooked","ripe, cooked","PMP","*ma-hasak"
"6260","cooked","ripe, cooked","PMP","*ma-tasak"
"6261","cooked","ripe; cooked","PAN","*ma-Sasak"
"6262","cooked","ripe; cooked","PMP","*hasak"
"6263","cooked","ripe; cooked","PAN","*Sasak"
"6264","cooked","ripe; cooked; ready to eat","PEMP ","*ma-qosak"
"6265","cooked","ripe; cooked; ready to eat","PMP ","*ma-qesak"
"6266","cooked","ripe; cooked; ready to eat","PAN","*qesak"
"6267","cooked","to be cooked","PMP","*tanek-en"
"6268","cooked","to be cooked","PAN","*taNek-en"
"6269","cooked","wrapped packet of cooked rice","PWMP","*lepet3"
"6270","cooking","clay cooking pot","PAN","*kude<U+014B>"
"6271","cooking","clay cooking pot","PMP","*kudin"
"6272","cooking","clay cooking pot","PAN","*kuden"
"6273","cooking","clay cooking pot","PWMP ","*kurin"
"6274","cooking","coiled base on which cooking pots are set or on which loads are placed for carrying on the head","PWMP","*riken"
"6275","cooking","coiled base on which cooking pots are set, or on which loads are placed for carrying on the head","PWMP","*Riken"
"6276","cooking","coiled base on which hot cooking pots are set","PAN","*reken"
"6277","cooking","coiled base on which hot cooking pots are set","PAN","*Reken"
"6278","cooking","cooking banana: Musa sapientum Linn. var compressa.  Blanco","PWMP","*sabeqa"
"6279","cooking","cooking shed","PWMP","*ba<U+014B>sal"
"6280","cooking","earthenware cooking pot","PAN","*pariuk"
"6281","cooking","ebb tide; coral reefs and sandbanks exposed at low tide; evaporate, dry up, of water in cooking, in a river, etc.","PMP ","*qeti1"
"6282","cooking","hard crust of rice that adheres to the bottom of the cooking pot","PPh ","*itíp"
"6283","cooking","hearth, cooking place","PWMP","*dapuR-an"
"6284","cooking","large cooking banana or plantain variety","PPH","*tinduk"
"6285","cooking","pad placed under cooking pots, loads to carry on the head, etc.","PPH","*dikén"
"6286","cooking","rice between harvesting and cooking; husked rice","PMP","*beRas"
"6287","cooking","rice between harvesting and cooking; husked rice","PAN","*beRas"
"6288","cooking","scrape, grate, as coconut preparatory to cooking","POC","*korit"
"6289","cooking","shallow earthenware cooking pot or pan","PAN","*bala<U+014B>a"
"6290","cooking","to chop, to mince, as meat, fish or vegetables preparatory to cooking","PWMP","*sagsag2"
"6291","cooking","to mix together, as ingredients in cooking","PWMP","*<U+014B>a-lamuj"
"6292","cooking","to wash rice or plants preparatory to cooking","PPH","*unab"
"6293","cooking","trivet, arrangement of three stones on which the cooking pot is placed","PMP ","*dalikan"
"6294","cooking","wash body parts, cooking or eating utensils (but not clothes)","PEMP","*uRas"
"6295","cooking","wash body parts, cooking or eating utensils (but not clothes)","PMP","*huRas"
"6296","cooking","wash body parts, cooking or eating utensils (but not clothes)","PAN","*SuRas"
"6297","cool","cold, cool",NA,"*(noise)"
"6298","cool","to let food or hot water cool off","PPH","*pa-bahaw-en"
"6299","cooled","cooled off, as cooked food that has been left to sit too long","PAN","*ma-baSaw"
"6300","coop","coop, as for chickens; pen, as for pigs","PPH","*ta<U+014B>kal"
"6301","cooperate","join forces, cooperate in working","PPh ","*abag"
"6302","co-parent-in-law","become a co","PWMP","*baisan-an"
"6303","co-parent-in-law","co","PWMP","*baisan"
"6304","co-parent-in-law","co","PPh ","*balaqih"
"6305","cope","able to cope, able to handle things","PPH","*sapal"
"6306","copper","copper",NA,"*(loan)"
"6307","copulate","copulate","PPh ","*abij"
"6308","copulate","copulate, have sexual intercourse","PAN","*qiut"
"6309","copulate","copulate, have sexual intercourse","PWMP ","*ayut"
"6310","copulate","copulate, have sexual intercourse","PWMP ","*ayud"
"6311","copulate","copulate; copulation, sexual intercourse","POC","*qait"
"6312","copulate","embrace from behind, copulate by mounting from behind (of animals, or coarsely of humans)","PPH","*tak(e)bá"
"6313","copulate (of fowls)","copulate (of fowls)",NA,"*(near)"
"6314","copulation","copulate; copulation, sexual intercourse","POC","*qait"
"6315","copy","copy, imitate, pass on","POC","*usuri"
"6316","copy","imitate, copy",NA,"*(loan)"
"6317","copy","to copy, imitate","PWMP","*tulad"
"6318","copy","to copy, mimic, imitate","POC","*toa"
"6319","copy","to follow, copy, imitate","PWMP","*suaq"
"6320","coral","a tree with dense clusters of red flowers, the Indian coral tree, Erythrina indica","POC","*rarap"
"6321","coral","a tree with dense clusters of red flowers, the Indian coral tree, Erythrina indica","PMP","*dapdap1"
"6322","coral","branching coral; coral limestone","POC","*laje"
"6323","coral","coral","PPH","*gása<U+014B>"
"6324","coral","coral",NA,"*(noise)"
"6325","coral","coral reef","POC ","*papo3"
"6326","coral","coral sponge","PMP ","*bu<U+014B>a na batu"
"6327","coral","coral, limestone","PMP","*kara<U+014B>"
"6328","coral","ebb tide; coral reefs and sandbanks exposed at low tide; evaporate, dry up, of water in cooking, in a river, etc.","PMP ","*qeti1"
"6329","coral","flat","POC","*lababa"
"6330","coral","kind of porous, white, round and flat coral growth","POC","*bu<U+014B>a3"
"6331","coral","lime, coral limestone","POC","*kau1"
"6332","coral","submerged rock or coral reef","POC","*mwaloq"
"6333","coral","tree with dense clusters of red flowers, the Indian coral tree, Erythrina indica","PMP","*depdep"
"6334","Corchorus","a shrub, the Jew’s mallow: Corchorus spp., fam. Malvaceae","PPH","*salúyut"
"6335","cord","cane cord used for heavy binding",NA,"*(loan)"
"6336","cord","navel, umbilical cord","PAN-F","*pujek"
"6337","cord","navel, umbilical cord","PAN-F","*puja"
"6338","cord","plait a cord, twist, wrap around","PMP","*pirit"
"6339","cord","rope, cord, twine, string","PMP","*talih"
"6340","cord","rope, cord, twine, string","PAN","*CaliS"
"6341","cord","rope, string, cord","POC","*tali1"
"6342","cord","umbilicus, navel cord","PWMP ","*talih pusej"
"6343","cordage","Hibiscus tiliaceus, a tree the bark of which provides a fiber much used in making cordage; to lash, tie, bind","POC","*paRu"
"6344","cordage","a jointed creeper which yields fiber used to make cordage and fishnets","POC","*kabe1"
"6345","cordage","binding material, cordage; bundle","PPh","*beték"
"6346","cordage","cordage (?)","PMP","*ta-talih"
"6347","cordage","string, rope, cordage made by twining fibers","PPH","*lúbid"
"6348","Cordia","a tree: Cordia dichotoma","PAN","*qaNuNa<U+014B>"
"6349","Cordia","a tree: Cordia dichotoma","PMP","*hanuna<U+014B>"
"6350","Cordia","a tree: Cordia subcordata","POC","*toRu"
"6351","Cordia","a tree: Cordia spp.","PMP","*kendal"
"6352","Cordia","a tree: Cordia spp.","PMP ","*kanawa"
"6353","Cordia","tree with sticky fruits: Cordia spp.","PAN","*quNuNa<U+014B>"
"6354","Cordyline","a shrub: Cordyline spp.","PWMP ","*sabaqa<U+014B>"
"6355","Cordyline","a shrub: Cordyline, Dracaena","PMP ","*siRi"
"6356","core","core of a boil","PWMP","*mata nu piRsa"
"6357","core","core of a boil","PMP","*mata nu bisul"
"6358","core","core of a breadfruit","POC","*malon"
"6359","core","core of a fruit","POC ","*uso"
"6360","core","eye, face, focal point, center or most prominent part; hole, aperture; doorway, window; budding part of plant; ‘eye’ of coconut; knot in wood; sun; core of a boil; blade of a knife; to awaken; operculum of a snail; mesh of a net; eye of a needle; noose of a trap; hearth; direction of the wind; head of a river; spring, source; lid, cover","PMP","*mata"
"6361","core","heartwood of a tree, hard, durable core of wood; ironwood tree","PMP","*teRas"
"6362","core","liver; seat of the emotions, inner self: core, mind, will, desire, feeling, intelligence, understanding; to want or wish; hollow of the palm of the hand or sole of the foot; pith, as of bamboo","PMP","*qatay"
"6363","core","pith of plants or trees; core or middle of something","PMP ","*qunej"
"6364","coriander","coriander seed",NA,"*(loan)"
"6365","cork","cork, stopper",NA,"*(loan)"
"6366","cork","cork, stopper, plug","POC","*jo<U+014B>jo<U+014B>"
"6367","cork","cork, stopper, plug","PAN","*se<U+014B>se<U+014B>"
"6368","cork","plug up, stop something up, as with a cork","PWMP","*su<U+014B>su<U+014B>2"
"6369","cork","plug, stopper, cork","PWMP","*sumbad"
"6370","cork","stopper, plug, cork","PWMP","*sumpel"
"6371","cork","the Indian cork tree: Millingtonia hortensis","PMP","*ta<U+014B>ga2"
"6372","corn","callus, corn; blister","PMP","*butu1"
"6373","corn","callus, corn; blister","PAN","*buCu"
"6374","corner","angle, corner","PWMP","*seruk"
"6375","corner","angle, corner","PWMP","*suy(e)quk"
"6376","corner","corner","POC","*buu6"
"6377","corner","corner of the eye","POC","*kilo"
"6378","corner","corner of the eye","PCEMP","*kilaw3"
"6379","corner","corner, edge, point","PCEMP","*buu3"
"6380","corner","corner; side, edge","PWMP","*zuRu"
"6381","corner","curved area; corner, angle","PWMP","*celuk"
"6382","corner","outer corner of the eye","PMP ","*ikuR ni mata"
"6383","cornered","cornered, unable to escape","POC","*jukul1"
"6384","cornered","cornered, unable to escape","PMP","*sukul2"
"6385","corpse","body fluid from a corpse; fluid oozing from a wound","PWMP","*saRu2"
"6386","corpse","burial shroud; to enshroud a corpse","PMP","*saput1"
"6387","corpse","corpse, carcass","PWMP","*ba<U+014B>kay"
"6388","corpse","fluid oozing from a wound, infected sore, or corpse","PWMP","*sagu2"
"6389","corpse","ghost, ancestral spirit; nature spirit; corpse; owl; various plants","PMP","*qanitu"
"6390","corpse","stiff, as a corpse","PMP ","*ke<U+014B>2"
"6391","corpse","tree trunk, fallen tree, log; stem of a plant; 	body; corpse; self; bridge of the nose; most important or preeminent thing; main course of a river; mushroom or bracket fungus that grows on tree trunks or decaying logs","PMP","*bata<U+014B>"
"6392","corpulence","corpulence, obesity","PWMP","*ka-tabeq-an"
"6393","corpulent","fat, corpulent","PWMP","*ma-tabeq"
"6394","corral","fish corral","PWMP","*belet"
"6395","corral","fish corral","POC","*polat"
"6396","corral","fish corral","PMP","*belat2"
"6397","corral","fish corral","PWMP","*bakelad"
"6398","correct","be ensnared, caught in a trap; suffer, undergo, be struck by something; be entrapped or deceived; hit the mark, be ‘on target’, correct, right, true","PAN","*keNa"
"6399","correct","correct, proper","PWMP ","*tuman"
"6400","correct","right correct",NA,"*(loan)"
"6401","correct","straight; correct, proper; righteous","POC","*tonuq"
"6402","correct","true, believable, correct","POC","*tuna"
"6403","correct","true, correct, upright","POC","*bonor1"
"6404","corrupt","corrupt",NA,"*(loan)"
"6405","Corypha","a palm: Corypha spp.","PPH","*silaR"
"6406","Corypha","palm sp: Corypha elata","PMP","*buri1"
"6407","Corypha","the gebang palm: Corypha gebanga","PWMP","*ibus1"
"6408","cost","price, worth, cost","PPH","*<U+014B>ina"
"6409","cost","value, cost, price of something","PWMP ","*beli-en"
"6410","cot","cot, bed",NA,"*(loan)"
"6411","cotton","cotton",NA,"*(loan)"
"6412","cotton","cotton cloth",NA,"*(loan)"
"6413","cotton","cotton cloth of cheap quality",NA,"*(loan)"
"6414","cotton","flower, blossom; to flower, bear flowers; yield a benefit (as interest on a loan); first","PMP","*bu<U+014B>a"
"6415","cotton","silk cotton tree: Ceiba pentandra Linn.","PPh ","*buybuy"
"6416","cotton","silk cotton, kapok","PAN-F","*kapua"
"6417","cotton","spin cotton thread",NA,"*(loan)"
"6418","cough","a cough; to cough","POC","*koso"
"6419","cough","a cough; to cough","POC ","*buu4"
"6420","cough","cough","PMP","*batuk1"
"6421","cough","cough","PWMP ","*ikej"
"6422","cough","cough",NA,"*(loan)"
"6423","cough","cough",NA,"*(noise)"
"6424","cough","cough",NA,"*(noise)"
"6425","cough","cough repeatedly","PWMP","*batuk batuk"
"6426","cough","cough; to cough","POC","*pukuR"
"6427","cough","cough; to cough; sound of coughing","PMP ","*ukuk"
"6428","cough","phlegm; cough up phlegm","PWMP","*dahak"
"6429","cough","to cough","POC","*qokok"
"6430","cough","to cough","PCEMP","*qekek"
"6431","cough","to cough","PMP","*qekqek"
"6432","coughing","cough; to cough; sound of coughing","PMP ","*ukuk"
"6433","coughing","coughing fit","PPH","*yekyek2"
"6434","coughing","to have a fit of coughing","PPH","*kelkel2"
"6435","count","count",NA,"*(noise)"
"6436","count","count, calculate","PMP ","*ihap"
"6437","count","count, enumerate","PPh ","*huyáp"
"6438","count","reckon, calculate, count","PWMP ","*ma<U+014B>-bila<U+014B>"
"6439","count","reckon, calculate, count","PPh ","*ma-bila<U+014B>"
"6440","count","to count","PAN-F","*SipuR"
"6441","count","to count","PWMP","*bila<U+014B>-en"
"6442","count","to count, calculate; hold valuable","PAN","*bila<U+014B>1"
"6443","counted","be counted, be calculated","PPh ","*ihap-en"
"6444","countenance","face, countenance","PPH","*a<U+014B>as"
"6445","counterpart","stative marker in irrealis constructions, counterpart to *ma","PAN","*ka-2"
"6446","counting","leaf; head hair; classifier used in counting certain types of objects","PEMP","*raun"
"6447","counting","leaf; head hair; classifier used in counting certain types of objects","PCEMP","*daun"
"6448","counting","means or instrument for counting","PWMP ","*pa<U+014B>-bila<U+014B>"
"6449","counting","ten, in counting certain objects",NA,"*(noise)"
"6450","country","interior hill country, hilly or mountainous part of island","POC","*solos"
"6451","coup-de-grace","coup","PPH","*lunsan"
"6452","couple","co","PWMP","*baisan"
"6453","couple","married couple","PPh ","*tala-qasawa"
"6454","courageous","(lit. 'big liver') brave, courageous; proud, arrogant","PMP ","*X1 + qatay"
"6455","course","blown off course","PWMP ","*babas"
"6456","course","deflected off course","PWMP ","*bias"
"6457","course","stopped in its course, as something which sticks in the throat","PWMP ","*buqul"
"6458","course","tree trunk, fallen tree, log; stem of a plant; 	body; corpse; self; bridge of the nose; most important or preeminent thing; main course of a river; mushroom or bracket fungus that grows on tree trunks or decaying logs","PMP","*bata<U+014B>"
"6459","court","to court girls; to womanize","PPh","*ma-ba-bahi"
"6460","courtyard","yard, courtyard",NA,"*(noise)"
"6461","cousin","first cousin","PPH","*pinsan"
"6462","cousin","to unite, unify; first cousin","PWMP","*pisan"
"6463","cousin","younger sibling of the same sex (vocative); younger parallel cousin of the same sex (vocative)","PMP","*huaji-q"
"6464","cousin","younger sibling of the same sex (vocative); younger parallel cousin of the same sex (vocative)","PWMP ","*huaji-<U+014B>"
"6465","cousin","younger sibling of the same sex; younger parallel cousin of the same sex","POC ","*taci"
"6466","cousin","younger sibling of the same sex; younger parallel cousin of the same sex","PMP ","*ta-huaji"
"6467","cousin","younger sibling of the same sex; younger parallel cousin of the same sex","PWMP ","*paR-huaji"
"6468","cousin","younger sibling of the same sex; younger parallel cousin of the same sex","PCEMP","*waji"
"6469","cousin","younger sibling of the same sex; younger parallel cousin of the same sex","PMP","*huaji"
"6470","cove","sheltered water: deep place in a river; cove, harbor, lagoon","PMP ","*namaw"
"6471","cover","a cover","PMP","*atab"
"6472","cover","a cover","PAN","*aCab"
"6473","cover","a cover, to cover","PMP","*e(<U+014B>)keb"
"6474","cover","a cover; to cover","PPH","*takíp"
"6475","cover","a cover; to cover with a flat surface","PAN","*tekep"
"6476","cover","brood, sit on eggs; cover completely","PMP ","*ukup"
"6477","cover","close, cover","PWMP ","*cu(<U+014B>)kup"
"6478","cover","cloth cover","PWMP ","*awi"
"6479","cover","cover","PWMP","*tu<U+014B>kup"
"6480","cover","cover","PWMP ","*ukub"
"6481","cover","cover","PWMP ","*tu(<U+014B>)kub"
"6482","cover","cover","PWMP ","*si(<U+014B>)keb"
"6483","cover","cover","PWMP ","*se(<U+014B>)keb"
"6484","cover","cover","PWMP ","*ri(<U+014B>)kep"
"6485","cover","cover","PWMP ","*lu(<U+014B>)keb"
"6486","cover","cover","POC","*akup"
"6487","cover","cover","PMP","*a<U+014B>kub"
"6488","cover","cover",NA,"*-keb1"
"6489","cover","cover",NA,"*-kub1"
"6490","cover","cover nose and mouth with hand","PWMP","*penpen2"
"6491","cover","cover over, cover up","PMP ","*Ru<U+014B>keb"
"6492","cover","cover something to protect it or oneself","PPH","*salúkub"
"6493","cover","cover trap for fish or crustaceans","PPH","*salakeb"
"6494","cover","cover with a heap of earth, etc.; a heap of earth, etc.","PWMP ","*bunbun-an2"
"6495","cover","cover with a hollow container; shelter over a grave","PWMP","*su<U+014B>kub"
"6496","cover","cover with a hollow container; shelter over a grave","PWMP","*cu<U+014B>kub"
"6497","cover","cover with a thin layer","PWMP","*kupkup1"
"6498","cover","cover with ashes, put ashes on","PWMP ","*ma<U+014B>-qabu"
"6499","cover","cover with earth","PWMP ","*Rab(e)qun"
"6500","cover","cover with earth","POC","*ipun2"
"6501","cover","cover with earth","PMP","*hibun"
"6502","cover","cover with something (?)","POC","*okop"
"6503","cover","cover with something flat","PWMP","*takelap"
"6504","cover","cover with thatch; place of thatching","PWMP ","*qatep-an"
"6505","cover","cover, as with a blanket","PCMP ","*atek"
"6506","cover","cover, coating","PMP","*kubkub2"
"6507","cover","cover, conceal","PWMP ","*lipud"
"6508","cover","cover, enclose","PWMP","*takup1"
"6509","cover","cover, overlapping part","PWMP ","*ta(<U+014B>)keb"
"6510","cover","cover, shut",NA,"*(noise)"
"6511","cover","cover, shut in","PWMP","*lekeb"
"6512","cover","cover, shut in","PWMP","*lekep1"
"6513","cover","cover, wrapping","PAN","*lakup"
"6514","cover","cover; fold over",NA,"*-kep1"
"6515","cover","enclose, cover","PWMP ","*ekup"
"6516","cover","enclose, cover",NA,"*-kup"
"6517","cover","enclose, cover; grasp",NA,"*-kem1"
"6518","cover","eye, face, focal point, center or most prominent part; hole, aperture; doorway, window; budding part of plant; ‘eye’ of coconut; knot in wood; sun; core of a boil; blade of a knife; to awaken; operculum of a snail; mesh of a net; eye of a needle; noose of a trap; hearth; direction of the wind; head of a river; spring, source; lid, cover","PMP","*mata"
"6519","cover","fill a hole with earth; cover something with a heap of earth","PMP","*bunbun"
"6520","cover","head cover for women","PWMP","*kudu<U+014B>"
"6521","cover","head cover, protection from sun or rain","PMP","*tudu<U+014B>"
"6522","cover","heap, pile, cover with earth; collect, assemble",NA,"*-bun (or *-bequn?)"
"6523","cover","heap, pile; cover up","PWMP ","*tumbun"
"6524","cover","keep secret, cover up","PMP ","*sekep"
"6525","cover","kind of basket with cover","PPH","*suk(e)luban"
"6526","cover","lid, cover","PWMP","*sa(<U+014B>)keb"
"6527","cover","lid, cover","PPH","*sakúb"
"6528","cover","lid, cover","PMP ","*ta<U+014B>eb"
"6529","cover","lift off a cover, be lifted off","PMP","*tikas"
"6530","cover","log or bamboo ridgepole cover","PWMP","*kulub1"
"6531","cover","plug up, dam; cover",NA,"*-pe<U+014B>"
"6532","cover","ridge of the roof; ridge of a mountain, peak; deck of a boat; cover the ridgepole with thatch","PMP ","*bubu<U+014B>1"
"6533","cover","shelter, cover, protection; shade","PAN","*lidu<U+014B>"
"6534","cover","sheltering cover","PWMP","*tabi<U+014B>"
"6535","cover","take cover, hide behind","PPH","*kub(e)li"
"6536","cover","take shelter, cover the head","PMP","*tedu<U+014B>1"
"6537","cover","to close or cover up","PMP","*ta(<U+014B>)kub"
"6538","cover","to close, as a door; cover","PWMP","*ma-na<U+014B>eb"
"6539","cover","to cover","PWMP","*tak(e)lub"
"6540","cover","to cover","POC","*tokup"
"6541","cover","to cover","PWMP","*tekeb1"
"6542","cover","to cover","POC","*tutup1"
"6543","cover","to cover","PMP","*tutup1"
"6544","cover","to cover","PMP","*tutub"
"6545","cover","to cover","PWMP ","*Ra<U+014B>kub"
"6546","cover","to cover something","POC","*kukup-i"
"6547","cover","to cover up","PWMP","*likup-an"
"6548","cover","to cover with earth","POC","*tapun2"
"6549","cover","to cover with earth, dam up","PPh","*tabún-an"
"6550","cover","to cover with earth, sand, etc.","PMP","*tabun2"
"6551","cover","to cover, as with a cloth or mat","POC","*taRu"
"6552","cover","to cover, covering","PPH","*daup1"
"6553","cover","to cover, enclose","PWMP","*likup1"
"6554","cover","to cover, shelter, protect","PWMP","*tidu<U+014B>"
"6555","cover","to cover, shut","PMP","*tekub"
"6556","cover","to screen, conceal, cover","PWMP","*tabe<U+014B>"
"6557","covered","covered with ashes; ashen, gray","PWMP ","*ma-qabu"
"6558","covered","covered with moss","PWMP","*lumut-en"
"6559","covered","covered with moss","PMP","*lumut-an"
"6560","covered","covered with thatch; place of thatching","PWMP ","*q<in>atep-an"
"6561","covered","covered, veiled",NA,"*(noise)"
"6562","covered","hairy, covered with hair or fibers","PWMP ","*ma-bulu"
"6563","covered","infested with flies, covered with flies","PAN","*la<U+014B>aw-en"
"6564","covered","place covered by shallow water","PWMP","*limbu<U+014B>"
"6565","covered","to slow cook in a tightly covered vessel","PWMP","*kulub2"
"6566","covered","uncultivated field, open grassland; field covered with sword grass (Imperata cylindrica)","PWMP","*pada<U+014B>"
"6567","covered","was covered with ashes","PWMP ","*q<in>abu"
"6568","covering","a hat, head covering","PAN","*tamuhu<U+014B>"
"6569","covering","catch, as by covering","PMP","*ta<U+014B>kep"
"6570","covering","covering",NA,"*(loan)"
"6571","covering","covering membrane of plants",NA,"*(noise)"
"6572","covering","covering structure","POC","*takup2"
"6573","covering","covering, lid","PWMP ","*a<U+014B>keb"
"6574","covering","head covering","PPH","*pandu<U+014B>"
"6575","covering","head covering",NA,"*(noise)"
"6576","covering","head covering for women","PWMP","*kulubu<U+014B>"
"6577","covering","place where ridgepole covering has been attached","PWMP ","*b<in>ubu<U+014B>-an"
"6578","covering","plant fiber; coconut husk, fibers of areca nuts, fibers covering mango seeds, etc.","PWMP","*sabut"
"6579","covering","protective covering or enclosure; mosquito net","PPH","*kubu<U+014B>2"
"6580","covering","pull off, remove covering","PPH","*ukap"
"6581","covering","roof covering",NA,"*(noise)"
"6582","covering","sheath, covering","PWMP","*sambu<U+014B>"
"6583","covering","thin covering, eyelid","PMP","*takub"
"6584","covering","to cover, covering","PPH","*daup1"
"6585","coverlet","blanket, coverlet",NA,"*(noise)"
"6586","cow","cow",NA,"*(loan)"
"6587","coward","timid, fearful; coward","PAN","*talaw"
"6588","cowardly","cowardly; shameful","PWMP","*putiq mata"
"6589","cowardly","easily frightened, cowardly","PWMP","*takut-an"
"6590","cowardly","fearful, cowardly","PAN","*ma-talaw"
"6591","co-wife","share the possession of something with someone else; co","PWMP","*duha-i"
"6592","cowlick","cowlick","PWMP ","*pulipis"
"6593","cowrie","cowrie shell: Cypraea mauritiana","POC","*buliq1"
"6594","cowrie","cowrie shell: Cypraea mauritiana","PMP","*buliq1"
"6595","cowrie","cowrie shell: Cypraea spp.","PWMP","*sigay"
"6596","crab","coconut crab","PMP","*kasusu"
"6597","crab","coconut crab: Birgus latro","PPH","*tatus"
"6598","crab","coconut crab: Birgus latro","PMP ","*qayuyu"
"6599","crab","crab (generic)","POC","*kuka"
"6600","crab","crab claw, lance",NA,"*(noise)"
"6601","crab","crab sp.","POC","*talise2"
"6602","crab","crab sp.","PPH","*kata<U+014B>"
"6603","crab","crab sp.","PWMP","*qaRama"
"6604","crab","crab sp.","PMP ","*kaRakap"
"6605","crab","crab taxon, probably a rock crab  (Grapsidae)","POC","*kape2"
"6606","crab","hermit crab","PMP","*kuma<U+014B>"
"6607","crab","hermit crab","POC","*koba"
"6608","crab","hermit crab","POC","*qumwa<U+014B>"
"6609","crab","hermit crab","PAN","*quma<U+014B>"
"6610","crab","hermit crab","PMP ","*quma<U+014B> quma<U+014B>"
"6611","crab","kind of fish or crab trap","PWMP ","*bintur"
"6612","crab","kind of fish or crab trap","PWMP ","*bintul"
"6613","crab","kind of hermit crab","POC","*katou"
"6614","crab","kind of large marine crab","PPH","*aRama"
"6615","crab","kind of small land crab","POC","*tubaRa"
"6616","crab","mangrove crab","POC","*qali-ma<U+014B>o"
"6617","crab","mangrove crab","PMP ","*qali-ma<U+014B>u"
"6618","crab","mangrove crab","PMP","*qali-ma<U+014B>aw"
"6619","crab","sand crab","PMP ","*kaRuki"
"6620","crab","small edible freshwater crab","PMP","*kaRa<U+014B>"
"6621","crab","small edible freshwater crab","PAN","*gaRa<U+014B>"
"6622","crab","to thrust into a hole, as a stick to catch a crab","PAN","*dukduk4"
"6623","crab","tongs, pincers, claw of a crab or lobster; to pinch or squeeze","PAN","*sipit"
"6624","crack","break, crack","PWMP","*sagsag1"
"6625","crack","break, crack off","PMP ","*lepak1"
"6626","crack","break, crack, split","PWMP ","*epak"
"6627","crack","break, crack, split",NA,"*-pak2"
"6628","crack","caulk, fill up a hole or crack with viscous material","PWMP ","*bulit-en"
"6629","crack","caulk, fill up a hole or crack with viscous material","POC","*bulit2"
"6630","crack","caulk, fill up a hole or crack with viscous material","PMP","*bulit1"
"6631","crack","crack apart at the joints","PWMP ","*sipak"
"6632","crack","crack, cleft","PPH","*Retaq"
"6633","crack","crack, crevice","PPH","*laták"
"6634","crack","crack, split","PCEMP","*sepak2"
"6635","crack","crack, split","PMP ","*kelaq"
"6636","crack","crack, split open","PWMP ","*re<U+014B>at"
"6637","crack","crack, split open (as dry ground)","PAN","*betak"
"6638","crack","crack, split open (as the stomach of a fish)","PMP ","*belak"
"6639","crack","crack, split, break; sound of cracking, splitting, breaking","PMP ","*sapak"
"6640","crack","crack, split, break; sound of cracking, splitting, breaking","PMP","*cep(e)qak"
"6641","crack","crack, split, fissure","PAN","*Celaq"
"6642","crack","snap, crack","PMP ","*depuk"
"6643","crack","split, crack","PWMP","*Ripak"
"6644","crack","split, crack","PMP ","*tela"
"6645","crack","split, crack","PWMP","*ripak"
"6646","crack","split, crack","PWMP","*letak1"
"6647","crack","split, crack (intr.)","PWMP","*Retak"
"6648","crack","split, crack open","PMP ","*beka"
"6649","crack","split, crack open","PMP","*bekaq"
"6650","crack","split, crack, fissure","PMP","*telaq1"
"6651","crack","to crack","POC","*piti"
"6652","crack","to crack, break; cracked, broken","PPH","*basag"
"6653","cracked","cracked, peeling, of skin","PWMP ","*kur(i)si<U+014B>"
"6654","cracked","fissured, slightly cracked","PMP","*ka<U+014B>eqa"
"6655","cracked","to crack, break; cracked, broken","PPH","*basag"
"6656","cracking","crack, split, break; sound of cracking, splitting, breaking","PMP ","*sapak"
"6657","cracking","crack, split, break; sound of cracking, splitting, breaking","PMP","*cep(e)qak"
"6658","cracking","sound of breaking or cracking","PMP ","*rupuk"
"6659","cracking","sound of cracking, splitting, knocking",NA,"*-tak2 (or *-taqak?)"
"6660","cradle","sores on the scalp; 'cradle cap'","PWMP","*buduk"
"6661","cradle","swinging cradle for an infant","PPH","*dúyan"
"6662","cradle","to cuddle, cradle, as a baby","PPH","*kelkel1"
