"","language","language_code","long","lat","spoken","source_author","notes","data_entry","total_data","retentions","loans","classification","world_atlas_link","ethno_link"
"176","Chuukese","chk",7.33,151.75,"Micronesia","Unknown","","Possible Incorrect Language (Identification based on Three letter acronym)","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 261
            Number of Retentions: Proto Malayo-Polynesian:90
             
            Proto-Oceanic:102Number of Loans: 3","http://wals.info/languoid/lect/wals_code_cuu","http://www.ethnologue.com/show_language.asp?code=chk"
"177","Nakanai (Bileki Dialect)","nak",-5.58,150.58,"Papua New Guinea","R. Johnston","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:65","Proto-Oceanic:82Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:Willaumez","http://wals.info/languoid/lect/wals_code_nak","http://www.ethnologue.com/show_language.asp?code=nak"
"178","Paiwan (Kulalao F82)","pwn",22.5,120.83,"Taiwan","Ferrell (1982)","Ferrell, R. (1982). Paiwan dictionary. Canberra: Pacific linguistics.
(Compiled from the Kulalao (Ku<U+026C>a<U+026C>au) dialect)","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 222","Number of Retentions: Number of Loans: 1",NA,"Austronesian:Paiwan","http://wals.info/languoid/lect/wals_code_pai","http://www.ethnologue.com/show_language.asp?code=pwn"
"179","Patpatar","gfk",-3.77,152.5,"Papua New Guinea","Sios Ekonia Mitir","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 230","Number of Retentions: Proto Malayo-Polynesian:52","Proto-Oceanic:68Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic","http://wals.info/languoid/lect/wals_code_ptp","http://www.ethnologue.com/show_language.asp?code=gfk"
"180","Ponapean","pon",6.88,158.25,"Micronesia","Blust, from: Rehg & Sohl (1979)","Rehg, K.L. & Sohl, D.G. (1979). Ponapean-English Dictionary. Pali Language Texts. University of Hawaii Press, Honolulu.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 255","Number of Retentions: Proto Malayo-Polynesian:75","Proto-Oceanic:102Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Micronesian:Micronesian Proper:Ponapeic-Trukic:Ponapeic","http://wals.info/languoid/lect/wals_code_poh","http://www.ethnologue.com/show_language.asp?code=pon"
"181","Pulau (Arguni)","agf",NA,NA,NA,"Blust, from Grace Notebooks","""In conclusion, then, the language of Arguni Island may be a divergent member of the North Bomberai group, or its similarity to these languages may be a product of borrowing as a result of prolonged contact between small language communities."" (Blust, 1993, p.274)","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 179","Number of Retentions: Proto Malayo-Polynesian:42","Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:North Bomberai",NA,"http://www.ethnologue.com/show_language.asp?code=agf"
"182","Punan Kelai","sge",NA,NA,NA,"Antonio Guerreiro","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 203","Number of Retentions: Proto Malayo-Polynesian:55","Number of Loans: 1","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Kayan-Kenyah:Kayanic:Modang",NA,"http://www.ethnologue.com/show_language.asp?code=sge"
"183","Ririo","rri",NA,NA,NA,"D.C. Laycock","[Choiseul Island]","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:24","Proto-Oceanic:37Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Choiseul",NA,"http://www.ethnologue.com/show_language.asp?code=rri"
"184","Sangir","sxn",3.5,125.5,"Indonesia","Blust, from: Steller & Aebersold (1959)","Steller, K.G.F., & Aebersold, W.E. (1959). Sangiree-Nederrlands Woordernboek Met Nederlands-Sangirees Register. s-Gravenhage: The Netherlands","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 216","Number of Retentions: Proto Malayo-Polynesian:105","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Sangiric:Northern","http://wals.info/languoid/lect/wals_code_sgr","http://www.ethnologue.com/show_language.asp?code=sxn"
"185","Santa Ana","stn",NA,NA,NA,"Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 183","Number of Retentions: Proto Malayo-Polynesian:67","Proto-Oceanic:86Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Malaita-San Cristobal:San Cristobal",NA,"http://www.ethnologue.com/show_language.asp?code=stn"
"186","Sasak","sas",NA,NA,NA,"Peter Austin","Accents indicate an open-close contrast for mid vowels:
é = close e
è = open e
ó = close o
ò = close o
Word-final schwa is stressed and more tense, similar to central [3], though it
doesn't contrast with schwa (which is found elsewhere). Some dialects preserve
final [a] while most raise and centralis to [E], and others lower and back it to
open-o (like Javanese). Also, in some dialects there is harmony of earlier [a]
with the final vowel. So 'eye' is variably: mata ~ matE ~ mEtE ~ mEt'o ~ m'ot'o.
This level of variation is not included, but only the majority form.
There is also dialect variation between final l and final n, so some speakers
have 'to sit' as t'ok'on, but most have t'ok'ol.","Typed By: Peter Austin  Checked By:","Total Data: 267","Number of Retentions: Proto Malayo-Polynesian:113","Number of Loans: 9","Austronesian:Malayo-Polynesian:Bali-Sasak-Sumbawa:Sasak-Sumbawa",NA,"http://www.ethnologue.com/show_language.asp?code=sas"
"187","Sekar","skz",NA,NA,NA,"Blust, from Grace notebooks and Ronald Walkers 1991 list","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 191","Number of Retentions: Proto Malayo-Polynesian:73","Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:North Bomberai",NA,"http://www.ethnologue.com/show_language.asp?code=skz"
"188","Teop","tio",-5.67,155,"Papua New Guinea","Ruth Saovana Spriggs","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 267","Number of Retentions: Proto Malayo-Polynesian:43","Proto-Oceanic:56Number of Loans: 2","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Nehan-North Bougainville:Saposa-Tinputz","http://wals.info/languoid/lect/wals_code_teo","http://www.ethnologue.com/show_language.asp?code=tio"
"189","Toba Batak","bbc",2.5,99,"Indonesia","Nahason Sihotang","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 232","Number of Retentions: Proto Malayo-Polynesian:86","Number of Loans: 3","Austronesian:Malayo-Polynesian:Northwest Sumatra-Barrier Islands:Batak:Southern","http://wals.info/languoid/lect/wals_code_bto","http://www.ethnologue.com/show_language.asp?code=bbc"
"190","Tunjung","tjg",NA,NA,NA,"Blust, from Hudson (1967)","Hudson, A.B. (1967) The Barito isolects of Borneo: A classification based on comparative reconstruction and lexicostatistics. Data Paper No. 68. New York:Department of Asian Studies, Cornell University.","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 196","Number of Retentions: Proto Malayo-Polynesian:64","Number of Loans: 12","Austronesian:Malayo-Polynesian:Greater Barito:Barito-Mahakam",NA,"http://www.ethnologue.com/show_language.asp?code=tjg"
"191","Ujir (N.Aru)","udj",NA,NA,NA,"Jim Collins (?)","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 185","Number of Retentions: Proto Malayo-Polynesian:67","Number of Loans: 4","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Aru",NA,"http://www.ethnologue.com/show_language.asp?code=udj"
"192","Varisi","vrs",NA,NA,NA,"Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 256","Number of Retentions: Proto Malayo-Polynesian:29","Proto-Oceanic:42Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Choiseul",NA,"http://www.ethnologue.com/show_language.asp?code=vrs"
"193","Wolio","wlo",-5.5,122.75,"Indonesia","J.C. Anceaux","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 251","Number of Retentions: Proto Malayo-Polynesian:94","Number of Loans: 2","Austronesian:Malayo-Polynesian:Celebic:Wotu-Wolio:Wolio-Kamaru","http://wals.info/languoid/lect/wals_code_wlo","http://www.ethnologue.com/show_language.asp?code=wlo"
"194","Hiligaynon","hil",10.25,123,"Philippines","Jamaica Salcedo","","Typed By: Jamaica Salcedo  Checked By:","Total Data: 115","Number of Retentions: Proto Malayo-Polynesian:53","Number of Loans: 0","Austronesian:Malayo-Polynesian:Philippine:Greater Central Philippine:Central Philippine:Bisayan:Central:Peripheral","http://wals.info/languoid/lect/wals_code_hil","http://www.ethnologue.com/show_language.asp?code=hil"
"195","Bonfia","bnf",NA,NA,NA,"Blust, from Le Cocq d'Armandville (1901) / Stresemann (1927)","Cocq d'Armandville, C.I.F. le. (1901) Vergelijkende woordenlijst in het Hollandsch, Ceramsch, en Alfoersch (Bonfia). Tijdschrift voor Indische taal-, land- en volkenkunde 43:349-396.
Stresemann, E. (1927) Die Lauterscheinungen in den ambonischen Sprachen. Zeitschrift für Eingeborenen-Sprachen, Beihaft 10. Berlin: Dietrich Reimer.
is ""Bobot"" in Collins Lists","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 187","Number of Retentions: Proto Malayo-Polynesian:67","Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Seram:Masiwang",NA,"http://www.ethnologue.com/show_language.asp?code=bnf"
"196","Bukat","bvk",NA,NA,NA,"Blust. From data of Jerome Rousseau, informant: Gasai Butek","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 186","Number of Retentions: Proto Malayo-Polynesian:54","Number of Loans: 1","Austronesian:Malayo-Polynesian:North Borneo:North Sarawakan:Kayan-Kenyah:Kayanic:Muller-Schwaner ‘Punan'",NA,"http://www.ethnologue.com/show_language.asp?code=bvk"
"197","Dehu","dhv",-21,167.25,"New Caledonia","Blust, from Tryon & Hackman (1983)","Tryon, D.T. & Hackman, B. (1983) Solomon Islands languages: an internal classification.","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 269","Number of Retentions: Proto Malayo-Polynesian:50","Proto-Oceanic:65Number of Loans: 6","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Loyalty Islands","http://wals.info/languoid/lect/wals_code_dre","http://www.ethnologue.com/show_language.asp?code=dhv"
"198","Elat, Kei Besar","bnd",NA,NA,NA,"Jim Collins","one of two dialects of ""Old Bandanese""","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 207","Number of Retentions: Proto Malayo-Polynesian:85","Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Banda-Geser",NA,"http://www.ethnologue.com/show_language.asp?code=bnd"
"199","Woleai","woe",7.33,143.83,"Micronesia","Unknown","","Possible Incorrect Language (Identification based on Three letter acronym)","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 260
            Number of Retentions: Proto Malayo-Polynesian:94
             
            Proto-Oceanic:106Number of Loans: 3","http://wals.info/languoid/lect/wals_code_wol","http://www.ethnologue.com/show_language.asp?code=woe"
"200","Alune","alp",-3,128.33,"Indonesia","Margaret Florey","Recorded in Lohiasapalewa, Lohiatala, Seram Island","Typed By: Margaret Florey  Checked By:","Total Data: 254","Number of Retentions: Proto Malayo-Polynesian:74","Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern:Central Malayo-Polynesian:Central Maluku:East:Seram:Nunusaku:Three Rivers:Amalumute:Northwest Seram:Ulat Inai","http://wals.info/languoid/lect/wals_code_aln","http://www.ethnologue.com/show_language.asp?code=alp"
"201","Yakan","yka",6.5,122,"Philippines","Blust, from Pack  (1975), Behren (2002), Molony (1969)","Behrens, D. (2002) Yakan-English dictionary.<U+202D>Linguistic Society of the Philippines, Special Monograph Issue, 40.2. Manila: Linguistic Society of the Philippines.
Pack, J. (1975) Yakan-Pilipino-English Dictionary. Manila: Summer Institute of Linguistics.
Molony, C.H. (1969) Multilingualism and social behavior in the. southern Philippines. Ph.D. dissertation. Stanford, California. 
Yakan has borrowed extensively from the Greater Central Philippinnes languages and Malay.
Additions to Word list from ""Languages of the Southern Gateway"" by SIL","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:97","Number of Loans: 15","Austronesian:Malayo-Polynesian:Greater Barito:Sama-Bajaw","http://wals.info/languoid/lect/wals_code_ykn","http://www.ethnologue.com/show_language.asp?code=yka"
"202","Carolinian","cal",15.2,145.75,"Northern Mariana Islands","Unknown","","Possible Incorrect Language (Identification based on Three letter acronym),","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 271
            Number of Retentions: Proto Malayo-Polynesian:86
             
            Proto-Oceanic:107Number of Loans: 4","http://wals.info/languoid/lect/wals_code_crl","http://www.ethnologue.com/show_language.asp?code=cal"
"203","Bunun F69, Southern","bnn",NA,NA,NA,"Ferrell (1969)","Ferrell, R.(1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica","Some slightly different cognacy - see annotations column.
Andreea: replaced /d/ with /ð/ (cf. book).","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 245
            Number of Retentions: Number of Loans: 2",NA,"http://www.ethnologue.com/show_language.asp?code=bnn"
"204","Kanakanabu F69","xnb",NA,NA,NA,"Ferrell (1969)","Ferrell, R. (1969). Taiwan Aboriginal Groups: Problems in cultural and linguistic classification. Monograph 17: Institute of Ethnology, Academica Sinica.","Some slightly different cognacy - see annotations column.","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 148
            Number of Retentions: Number of Loans: 1",NA,"http://www.ethnologue.com/show_language.asp?code=xnb"
"205","Lio, Flores Tongah","ljl",NA,NA,NA,"Aron Meko Mbete","","the print is generally unclear and hard to read","Typed By: Peng Du  Checked By: Simon Greenhill",NA,NA,"Total Data: 211
            Number of Retentions: Proto Malayo-Polynesian:88
             
            Number of Loans: 4",NA,"http://www.ethnologue.com/show_language.asp?code=ljl"
"206","Lahanan","lhn",NA,NA,NA,"Blust, from: J. Rousseau and Informant Lake'Ido","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 179","Number of Retentions: Proto Malayo-Polynesian:74","Number of Loans: 2","Austronesian:Malayo-Polynesian:North Borneo:Melanau-Kajang:Kajang",NA,"http://www.ethnologue.com/show_language.asp?code=lhn"
"207","Rennellese","mnv",-11.62,160.25,"Solomon Islands","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 275","Number of Retentions: Proto Malayo-Polynesian:103","Proto-Oceanic:135Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic","http://wals.info/languoid/lect/wals_code_rnn","http://www.ethnologue.com/show_language.asp?code=mnv"
"208","As","asz",NA,NA,NA,"Blust, from Grace","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 164","Number of Retentions: Proto Malayo-Polynesian:37","Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:South Halmahera-West New Guinea:West New Guinea:Cenderawasih Bay:Raja Ampat",NA,"http://www.ethnologue.com/show_language.asp?code=asz"
"209","Bare'e","pmf",NA,NA,NA,"Blust, from: Adriani (1928)","Adriani, N. (1928). Bare'e-Nederlandsch Woordenboek. Leiden: Voorheen E.J. Brill.","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 220","Number of Retentions: Proto Malayo-Polynesian:100","Number of Loans: 0","Austronesian:Malayo-Polynesian:Celebic:Kaili-Pamona:Northern:Pamona",NA,"http://www.ethnologue.com/show_language.asp?code=pmf"
"210","Cheke Holo","mrn",-8.33,159.67,"Solomon Islands","G.M. White","Also known as A'ara, Marinde, Hograno","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 245","Number of Retentions: Proto Malayo-Polynesian:42","Proto-Oceanic:53Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Santa Isabel:East","http://wals.info/languoid/lect/wals_code_ckh","http://www.ethnologue.com/show_language.asp?code=mrn"
"211","Futuna, East","fud",-14.33,-178.17,"Wallis and Futuna","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 343","Number of Retentions: Proto Malayo-Polynesian:103","Proto-Oceanic:142Number of Loans: 8","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Futunic","http://wals.info/languoid/lect/wals_code_fue","http://www.ethnologue.com/show_language.asp?code=fud"
"212","Gapapaiwa","pwg",-9.75,149.83,"Papua New Guinea","Blust","Pencilled items from Capell (1976)","Can't really tell which is pencilled and which isn't","Typed By: Simon Greenhill  Checked By: Simon Greenhill",NA,NA,"Total Data: 172
            Number of Retentions: Proto Malayo-Polynesian:35
             
            Proto-Oceanic:42Number of Loans: 0","http://wals.info/languoid/lect/wals_code_gap","http://www.ethnologue.com/show_language.asp?code=pwg"
"213","Jawe","jaz",NA,NA,NA,"Blust, from: Haudricourt and Ozanne-Rivierre (1982)","Haudricourt, A.-G., & Ozanne-Rivierre, F. (1982). Dictionnaire thématique des langues de la région de Hienghène (Nouvelle-Calédonie) : Pije, Fwâi, Nemi, Jawe. Paris: SELAF.","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 219","Number of Retentions: Proto Malayo-Polynesian:57","Proto-Oceanic:74Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:New Caledonian:Northern:North:Nemi",NA,"http://www.ethnologue.com/show_language.asp?code=jaz"
"214","Kwara'ae (Solomon Islands')","kwf",NA,NA,NA,"David Gegeo","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 235","Number of Retentions: Proto Malayo-Polynesian:77","Proto-Oceanic:98Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Malaita-San Cristobal:Malaita:Northern",NA,"http://www.ethnologue.com/show_language.asp?code=kwf"
"215","Lampung","ljp",-5,105,"Indonesia","Junaiyah H.M.","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 199","Number of Retentions: Proto Malayo-Polynesian:86","Number of Loans: 1","Austronesian:Malayo-Polynesian:Lampung","http://wals.info/languoid/lect/wals_code_lmp","http://www.ethnologue.com/show_language.asp?code=ljp"
"216","Ma'anyan","mhy",-2,115,"Indonesia","Blust, from: Hudson (1967)","Hudson, Alfred B. (1967) Padju Epat: The Ethnography and Social Structure of a Ma'anyan Dajak Group in Southeastern Borneo. Ph.D. Dissertation, Cornell University, 1967.","pe'e 'leg, foot' belongs in 22 and has no relation to set 25: it comes from *paqa 'thigh' (compare Malay paha) and has a regular Malagasy cognate fè 'thigh'","Typed By: Penny Keenan  Checked By: Simon Greenhill + Sander Adelaar",NA,NA,"Total Data: 224
            Number of Retentions: Proto Malayo-Polynesian:82
             
            Number of Loans: 12","http://wals.info/languoid/lect/wals_code_myn","http://www.ethnologue.com/show_language.asp?code=mhy"
"217","Mailu","mgu",-10.33,149.33,"Papua New Guinea","Blust, from Saville","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 243","Number of Retentions: Number of Loans: 0",NA,"Trans-New Guinea:Southeast Papuan:Mailuan","http://wals.info/languoid/lect/wals_code_mgi","http://www.ethnologue.com/show_language.asp?code=mgu"
"218","Kapingamarangi","kpg",1.05,154.75,"Micronesia","POLLEX 2000 (Bruce Biggs & Ross Clark)","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 276","Number of Retentions: Proto Malayo-Polynesian:110","Proto-Oceanic:140Number of Loans: 5","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Remote Oceanic:Central Pacific:East Fijian-Polynesian:Polynesian:Nuclear:Samoic-Outlier:Ellicean","http://wals.info/languoid/lect/wals_code_kpn","http://www.ethnologue.com/show_language.asp?code=kpg"
"219","Dobuan","dob",NA,NA,NA,"Blust, from: Bromilow (1904)","Bromilow, W. E. (1904). Vocabulary of English Words, with Equivalents in Dobuan (British New Guinea), Fijian, and Samoan, with a Short Dobuan Grammar. Geelong: H. Thacker","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:53","Proto-Oceanic:63Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Nuclear:North Papuan Mainland-D'Entrecasteaux:Dobu-Duau",NA,"http://www.ethnologue.com/show_language.asp?code=dob"
"220","Molima","mox",NA,NA,NA,"Blust, from Chowning","","Typed By: Simon Greenhill  Checked By: Simon Greenhill","Total Data: 229","Number of Retentions: Proto Malayo-Polynesian:55","Proto-Oceanic:64Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Nuclear:North Papuan Mainland-D'Entrecasteaux:Bwaidoga",NA,"http://www.ethnologue.com/show_language.asp?code=mox"
"221","Roro","rro",-8.75,146.58,"Papua New Guinea","Matilda Miria-Tairea","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 180","Number of Retentions: Proto Malayo-Polynesian:58","Proto-Oceanic:67Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Peripheral:Central Papuan:West Central Papuan:Nuclear","http://wals.info/languoid/lect/wals_code_ror","http://www.ethnologue.com/show_language.asp?code=rro"
"222","Sa'a","apb",-9.62,161.45,"Solomon Islands","Blust from: Ivens (1929)","Ivens, W. G. (1929). Dictionary and grammar of the language of Sa'a and Ulawa, Solomon Islands. Washington: Carnegie Institution of Washington","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 230","Number of Retentions: Proto Malayo-Polynesian:73","Proto-Oceanic:96Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Malaita-San Cristobal:Malaita:Southern","http://wals.info/languoid/lect/wals_code_saa","http://www.ethnologue.com/show_language.asp?code=apb"
"223","Ubir","ubr",NA,NA,NA,"Malcolm Ross","","Typed By: Penny Keenan  Checked By: Simon Greenhill","Total Data: 195","Number of Retentions: Proto Malayo-Polynesian:48","Proto-Oceanic:57Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Nuclear:North Papuan Mainland-D'Entrecasteaux:Are-Taupota:Are",NA,"http://www.ethnologue.com/show_language.asp?code=ubr"
"224","To'ambaita","mlu",-8.42,160.58,"Solomon Islands","Frank Lichtenberk and Lawrence Fo'ana'ota","","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 391","Number of Retentions: Proto Malayo-Polynesian:111","Proto-Oceanic:137Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Central-Eastern Oceanic:Southeast Solomonic:Malaita-San Cristobal:Malaita:Northern","http://wals.info/languoid/lect/wals_code_toq","http://www.ethnologue.com/show_language.asp?code=mlu"
"225","Teanu","tkw",-11.63,166.83,"Solomon Islands","P. C. Lincoln, 18 Feb 1981","Puma village in Vanikoro Island","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 202","Number of Retentions: Proto Malayo-Polynesian:37","Proto-Oceanic:46Number of Loans: 3","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Temotu:Utupua-Vanikoro","http://wals.info/languoid/lect/wals_code_bum","http://www.ethnologue.com/show_language.asp?code=tkw"
"226","Taiof","sps",-5.53,154.63,"Papua New Guinea","Malcolm Ross","","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 184","Number of Retentions: Proto Malayo-Polynesian:45","Proto-Oceanic:58Number of Loans: 0","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Meso Melanesian:New Ireland:South New Ireland-Northwest Solomonic:Nehan-North Bougainville:Saposa-Tinputz","http://wals.info/languoid/lect/wals_code_taf","http://www.ethnologue.com/show_language.asp?code=sps"
"227","Tae' (S.Toraja)","sda",-3,119.75,"Indonesia","Blust from: van der Veen (1940)","van der Veen, H. (194). Tae' (Zuid-Toradjasch)-Nederlandsch Woordenboek met Register Nederlandsch-Tae'. Gravenhage: Martinus Nijhoff","Typed By: Peng Du  Checked By: Simon Greenhill","Total Data: 215","Number of Retentions: Proto Malayo-Polynesian:96","Number of Loans: 0","Austronesian:Malayo-Polynesian:South Sulawesi:Northern:Toraja-Sa'dan","http://wals.info/languoid/lect/wals_code_trd","http://www.ethnologue.com/show_language.asp?code=sda"
"228","Suau","swp",NA,NA,NA,"Blust, from Cooper (1975)","Cooper, R.E. (1975). Coastal Suau: A Preliminary Study of Internal Relationships. In T.E. Dutton (ed.) Studies in Languages of Central and South-East Papua. Pacific Linguistics Series C No. 29. Canberra: Australian National University.
3 pencilled forms from Capell, 1943","Typed By: Debasish Roy  Checked By: Simon Greenhill","Total Data: 197","Number of Retentions: Proto Malayo-Polynesian:49","Proto-Oceanic:62Number of Loans: 1","Austronesian:Malayo-Polynesian:Central-Eastern Malayo-Polynesian:Eastern Malayo-Polynesian:Oceanic:Western Oceanic:Papuan Tip:Nuclear:Suauic",NA,"http://www.ethnologue.com/show_language.asp?code=swp"
